F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
403200,230400000,1,60,6.263701847792045,0.52,197.67
403200,230400000,1,70,5.7405281285878305,0.56,212.0
403200,230400000,1,80,5.336179295624333,0.59,212.0
403200,230400000,1,90,4.925380485642516,0.62,212.0
403200,230400000,1,100,4.677049717038492,0.64,212.0
403200,307200000,1,0,14.573010784027979,0.0,45.5
403200,307200000,1,10,11.941724385001194,0.13,84.0
403200,307200000,1,20,10.458063166701526,0.23,127.0
403200,307200000,1,30,9.244707405010631,0.31,169.0
403200,307200000,1,40,8.345852111500585,0.38,179.75
403200,307200000,1,50,7.61266747868453,0.43,212.0
403200,307200000,1,60,7.026419336706015,0.47,212.0
403200,307200000,1,70,6.5971764084971625,0.5,233.0
403200,307200000,1,80,6.153467478924374,0.53,254.0
403200,307200000,1,90,5.72442612628084,0.56,254.0
403200,307200000,1,100,5.345878327809259,0.6,254.0
403200,384000000,1,0,14.44669170759896,0.0,45.5
403200,384000000,1,10,12.012012012012011,0.11,84.0
403200,384000000,1,20,10.726161106939825,0.2,127.0
403200,384000000,1,30,9.631127805065974,0.28,169.0
403200,384000000,1,40,8.844078889183692,0.33,212.0
403200,384000000,1,50,8.1799591002045,0.38,212.0
403200,384000000,1,60,7.496813854112003,0.43,248.0
403200,384000000,1,70,7.123014459719354,0.46,254.0
403200,384000000,1,80,6.674230794900887,0.49,254.0
403200,384000000,1,90,6.167509559639818,0.53,261.17
403200,384000000,1,100,5.859260561317162,0.55,275.5
403200,460800000,1,0,14.671361502347418,0.0,45.5
403200,460800000,1,10,12.335019119279636,0.1,99.64
403200,460800000,1,20,11.133377866844802,0.18,143.8
403200,460800000,1,30,10.06137438374082,0.25,178.56
403200,460800000,1,40,9.219988936013277,0.31,216.56
403200,460800000,1,50,8.61994655633135,0.36,248.75
403200,460800000,1,60,8.067118425298483,0.4,254.0
403200,460800000,1,70,7.422251911229868,0.44,266.29
403200,460800000,1,80,7.013114524160179,0.47,278.43
403200,460800000,1,90,6.634379353811451,0.5,296.71
403200,460800000,1,100,6.305170239596469,0.52,303.83
403200,537600000,1,0,14.688601645123384,0.0,45.5
403200,537600000,1,10,12.459506603538498,0.09,111.36
